Name,Batting Style,Bowling Style,Playing Role,Team
Michael van Lingen,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,Namibia
Divan la Cock,Right hand Bat,Legbreak,Opening Batter,Namibia
Jan Nicol Loftie-Eaton,Left hand Bat,"Right arm Medium, Legbreak",Batter,Namibia
Stephan Baard,Right hand Bat,Right arm Medium fast,Batter,Namibia
Gerhard Erasmus,Right hand Bat,Right arm Offbreak,Allrounder,Namibia
Jan Frylinck,Left hand Bat,Left arm Fast medium,Allrounder,Namibia
David Wiese,Right hand Bat,Right arm Medium fast,Allrounder,Namibia
JJ Smit,Right hand Bat,Left arm Medium fast,Bowling Allrounder,Namibia
Pathum Nissanka,Right hand Bat,,Top order Batter,Sri Lanka
Kusal Mendis,Right hand Bat,Legbreak,Wicketkeeper Batter,Sri Lanka
Dhananjaya de Silva,Right hand Bat,Right arm Offbreak,Allrounder,Sri Lanka
Danushka Gunathilaka,Left hand Bat,Right arm Offbreak,Allrounder,Sri Lanka
Bhanuka Rajapaksa,Left hand Bat,Right arm Medium,Top order Batter,Sri Lanka
Dasun Shanaka,Right hand Bat,Right arm Medium,Allrounder,Sri Lanka
Wanindu Hasaranga,Right hand Bat,Legbreak,Allrounder,Sri Lanka
Chamika Karunaratne,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Sri Lanka
Pramod Madushan,Right hand Bat,Right arm Medium fast,Bowler,Sri Lanka
Dushmantha Chameera,Right hand Bat,Right arm Fast,Bowler,Sri Lanka
Maheesh Theekshana,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka
Bernard Scholtz,Right hand Bat,Slow Left arm Orthodox,Bowler,Namibia
Ben Shikongo,Right hand Bat,Right arm Medium fast,Bowler,Namibia
Chirag Suri,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,United Arab Emirates
Muhammad Waseem,Right hand Bat,Right arm Medium,Opening Batter,United Arab Emirates
Kashif Daud,Right hand Bat,Right arm Medium fast,Bowling Allrounder,United Arab Emirates
Vriitya Aravind,Right hand Bat,,Wicketkeeper,United Arab Emirates XI
Zawar Farid,Right hand Bat,Right arm Medium,Bowler,United Arab Emirates
Basil Hameed,Right hand Bat,Right arm Offbreak,Middle order Batter,United Arab Emirates
Chundangapoyil Rizwan,Right hand Bat,Legbreak Googly,Middle order Batter,United Arab Emirates
Aayan Afzal Khan,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,United Arab Emirates
Karthik Meiyappan,Right hand Bat,Legbreak,Bowler,United Arab Emirates
Junaid Siddique,Right hand Bat,Right arm Medium fast,Bowler,United Arab Emirates
Vikramjit Singh,Left hand Bat,Right arm Medium fast,Opening Batter,Netherlands
Max O'Dowd,Right hand Bat,Right arm Offbreak,Opening Batter,Netherlands
Bas de Leede,Right hand Bat,Right arm Fast medium,Batting Allrounder,Netherlands
Colin Ackermann,Right hand Bat,Right arm Offbreak,Batting Allrounder,Netherlands
Tom Cooper,Right hand Bat,Right arm Offbreak,Middle order Batter,Netherlands
Scott Edwards,Right hand Bat,,Wicketkeeper Batter,Netherlands
Roelof van der Merwe,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Netherlands
Tim Pringle,Right hand Bat,Slow Left arm Orthodox,Allrounder,Netherlands
Logan van Beek,Right hand Bat,Right arm Medium fast,Bowler,Netherlands
Fred Klaassen,Right hand Bat,Left arm Fast medium,Bowler,Netherlands
Paul van Meekeren,Right hand Bat,Right arm Fast medium,Bowler,Netherlands
Zahoor Khan,Right hand Bat,Right arm Medium fast,Bowler,United Arab Emirates
George Munsey,Left hand Bat,Right arm Medium fast,Opening Batter,Scotland
Michael Jones,Right hand Bat,Right arm Offbreak,Top order Batter,Scotland
Matthew Cross,Right hand Bat,,Wicketkeeper Batter,Scotland
Richie Berrington,Right hand Bat,Right arm Medium fast,Top order Batter,Scotland
Calum MacLeod,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,Scotland
Michael Leask,Right hand Bat,Right arm Offbreak,Allrounder,Scotland
Chris Greaves,Right hand Bat,Legbreak,Bowler,Scotland
Kyle Mayers,Left hand Bat,Right arm Medium,Batting Allrounder,West Indies
Evin Lewis,Left hand Bat,,Opening Batter,West Indies
Brandon King,Right hand Bat,,Top order Batter,West Indies
Nicholas Pooran,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,West Indies
Shamarh Brooks,Right hand Bat,Legbreak,Top order Batter,West Indies
Rovman Powell,Right hand Bat,Right arm Medium fast,Middle order Batter,West Indies
Jason Holder,Right hand Bat,Right arm Medium fast,Bowling Allrounder,West Indies
Akeal Hosein,Left hand Bat,Slow Left arm Orthodox,Bowler,West Indies
Alzarri Joseph,Right hand Bat,Right arm Fast,Bowler,West Indies
Odean Smith,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies
Obed McCoy,Left hand Bat,Left arm Fast medium,Bowler,West Indies
Mark Watt,Left hand Bat,Slow Left arm Orthodox,Bowler,Scotland
Brad Wheal,Right hand Bat,Right arm Fast medium,Bowler,Scotland
Josh Davey,Right hand Bat,Right arm Medium fast,Bowler,Scotland
Safyaan Sharif,Right hand Bat,Right arm Medium fast,Bowler,Scotland
Regis Chakabva,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Zimbabwe
Craig Ervine,Left hand Bat,Right arm Offbreak,Middle order Batter,Zimbabwe
Wessly Madhevere,Right hand Bat,Right arm Offbreak,Allrounder,Zimbabwe
Sean Williams,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,Zimbabwe
